Actual,RNN_Predicted,LSTM_Predicted,ARIMA_Predicted,HW_Predicted
338.190002,356.58295,346.60376,332.4359962961907,350.82860707195726
325.829987,339.76352,345.22327,332.1295238489518,350.98779598306794
346.0,344.08774,341.293,332.032729791481,351.1469848941786
343.920013,343.70566,340.7026,332.2351662465242,351.3061738052893
347.869995,345.62265,340.28973,332.5321619358629,351.46536271639997
341.170013,341.90585,341.02914,332.63155716679995,351.62455162751064
350.480011,342.96948,340.91013,332.44097596610465,351.7837405386213
358.48999,354.02942,342.4955,332.15329830545306,351.942929449732
359.700012,345.8143,345.70157,332.0516472420351,352.1021183608426
363.059998,354.9785,349.25473,332.2308735967803,352.2613072719533
357.970001,356.89175,353.2168,332.5093965445902,352.42049618306396
365.149994,363.4781,355.8257,332.6129781737577,352.57968509417464
366.76001,368.41885,359.00964,332.4446218567585,352.7388740052853
366.600006,373.77173,361.89395,332.17508630832197,352.898062916396
376.790009,370.4081,364.13635,332.06988014894387,353.05725182750666
365.709991,375.02167,367.5932,332.2278359043259,353.21644073861734
348.420013,365.56503,368.57825,332.48855480945946,353.375629649728
337.029999,355.07578,365.63672,332.5950978777537,353.5348185608387
332.970001,360.02142,359.72232,332.4470882647491,353.69400747194936
315.380005,341.51758,352.58203,332.1950123266996,353.85319638306004
319.769989,346.33295,342.47818,332.0874023478133,354.0123852941707
295.390015,320.93958,333.69717,332.2259054620983,354.1715742052814
326.089996,313.87418,321.90695,332.46951453816905,354.33076311639206
316.130005,328.9368,316.82227,332.57793828624136,354.4899520275027
333.869995,310.92694,312.37906,332.4485165160637,354.64914093861336
332.799988,335.84653,312.94656,332.21319622938427,354.80832984972403
310.119995,319.51743,315.16806,332.10419573790784,354.9675187608347
300.359985,334.54276,314.3932,332.22494712047114,355.1267076719454
317.690002,316.49838,311.8065,332.4521582249909,355.28589658305606
334.959991,316.48718,312.07318,332.56151383270577,355.44508549416673
335.350006,324.17844,315.8833,332.44903578485446,355.6042744052774
338.529999,322.88623,320.4313,332.22975312613966,355.7634633163881
344.970001,320.67145,325.6223,332.1202493239379,355.92265222749876
347.26001,323.46912,331.6098,332.2248374837795,356.08184113860943
334.399994,344.68314,337.40356,332.4363731827534,356.2410300497201
344.429993,327.55447,339.96362,332.54583229322145,356.4002189608308
346.049988,351.5238,342.98755,332.4487638813287,356.55940787194146
347.309998,327.4122,345.3848,332.2447932607972,356.71859678305213
302.26001,353.75458,347.24313,332.1355583398092,356.87778569416275
298.920013,320.10287,340.27676,332.22546413825086,357.03697460527343
287.589996,330.3898,331.3368,332.42205162620564,357.1961635163841
291.51001,292.70242,320.0271,332.5308956237153,357.3553524274948
297.040009,305.76025,309.9138,332.44780800780023,357.51454133860545
296.380005,281.96924,302.2442,332.2584219499395,357.67373024971613
297.459991,286.00015,296.45697,332.15012344905347,357.8329191608268
308.769989,299.27106,292.798,332.2267249121287,357.9921080719375
307.019989,308.264,292.8626,332.40909071270676,358.15129698304816
312.209991,305.072,294.23685,332.51670072311134,358.31048589415883
312.890015,320.7214,297.4721,332.44626548227467,358.4696748052695
321.350006,306.6869,301.343,332.27073956148297,358.6288637163802
317.220001,321.2756,306.7334,332.1639500168675,358.78805262749086
307.51001,317.7562,311.1812,332.22852716845995,358.94724153860153
305.799988,310.34204,313.1733,332.3973925456654,359.1064304497122
312.839996,315.2427,313.78058,332.5032401273218,359.2656193608228
311.809998,300.90707,314.75018,332.4442244292385,359.4248082719335
308.170013,303.40225,315.092,332.2818415279806,359.5839971830442
303.769989,306.4772,314.43564,332.1770474489039,359.74318609415485
307.880005,316.09607,312.67725,332.2307871307481,359.9023750052655
305.640015,303.1827,311.43137,332.38686414567303,360.0615639163762
302.559998,315.7974,309.90027,332.490502638834,360.2207528274869
291.230011,305.57654,307.98483,332.4417644375742,360.37994173859755
294.709991,313.87854,304.23386,332.29181838993054,360.5391306497082
298.769989,304.90082,301.15845,332.18942859217475,360.6983195608189
297.859985,304.5013,299.2446,332.2334292414335,360.8575084719296
314.73999,294.96625,297.83792,332.37741739382227,361.01669738304025
319.880005,305.1543,300.00446,332.4784738964227,361.1758862941509
294.790009,305.16992,303.91492,332.4389571857469,361.3350752052616
285.359985,308.9699,303.7831,332.30075586481325,361.4942641163723
276.540009,303.5175,301.32858,332.20110919364555,361.65345302748295
276.23999,294.84824,296.668,332.23638555295497,361.81264193859363
